GeneticID	PCA1	PCA2	Group	Period
HGDP00514.HO	-0.0224	-0.0082	French	Modern
HGDP00515.HO	-0.024	-0.0106	French	Modern
HGDP00516.HO	-0.016	-0.0075	French	Modern
HGDP00517.HO	-0.0209	-0.0099	French	Modern
HGDP00518.HO	-0.0218	-0.0096	French	Modern
HGDP00519.HO	-0.0258	-0.0015	French	Modern
HGDP00522.HO	-0.0194	-0.0129	French	Modern
HGDP00523.HO	-0.0251	-0.008	French	Modern
HGDP00524.HO	-0.0192	-0.0194	French	Modern
HGDP00525.HO	-0.02	-0.0106	French	Modern
HGDP00526.HO	-0.0219	-0.0076	French	Modern
HGDP00527.HO	-0.0229	-0.0065	French	Modern
HGDP00528.HO	-0.0215	-0.0067	French	Modern
HGDP00529.HO	-0.0201	-0.0097	French	Modern
HGDP00531.HO	-0.0223	-0.0272	French	Modern
HGDP00533.HO	-0.0269	0.0013	French	Modern
HGDP00534.HO	-0.0222	-0.0073	French	Modern
HGDP00535.HO	-0.0251	-0.0015	French	Modern
HGDP00536.HO	-0.0153	-0.0162	French	Modern
HGDP00537.HO	-0.0188	-0.012	French	Modern
HGDP00538.HO	-0.0194	-0.0116	French	Modern
HGDP00539.HO	-0.0189	-0.0177	French	Modern
HGDP00879.HO	-0.0317	0.0346	Russian	Modern
HGDP00880.HO	-0.0322	0.0341	Russian	Modern
HGDP00882.HO	-0.0329	0.0373	Russian	Modern
HGDP00883.HO	-0.0359	0.0356	Russian	Modern
HGDP00884.HO	-0.031	0.0261	Russian	Modern
HGDP00887.HO	-0.0322	0.0328	Russian	Modern
HGDP00888.HO	-0.0297	0.0273	Russian	Modern
HGDP00889.HO	-0.0329	0.0326	Russian	Modern
HGDP00890.HO	-0.034	0.0321	Russian	Modern
HGDP00891.HO	-0.0309	0.0365	Russian	Modern
HGDP00892.HO	-0.0353	0.0341	Russian	Modern
HGDP00893.HO	-0.0334	0.0339	Russian	Modern
HGDP00894.HO	-0.0311	0.0361	Russian	Modern
HGDP00895.HO	-0.0328	0.0319	Russian	Modern
HGDP00896.HO	-0.0308	0.0359	Russian	Modern
HGDP00897.HO	-0.0317	0.0347	Russian	Modern
HGDP00898.HO	-0.0324	0.0412	Russian	Modern
HGDP00899.HO	-0.0291	0.0312	Russian	Modern
HGDP00900.HO	-0.0325	0.0288	Russian	Modern
HGDP00901.HO	-0.0326	0.0335	Russian	Modern
HGDP00902.HO	-0.0309	0.0343	Russian	Modern
HGDP00903.HO	-0.0339	0.0321	Russian	Modern
HGDP01147.HO	-0.0104	-0.0186	Italian_North	Modern
HGDP01151.HO	-0.0108	-0.0228	Italian_North	Modern
HGDP01152.HO	-0.0072	-0.0228	Italian_North	Modern
HGDP01153.HO	-0.0087	-0.0214	Italian_North	Modern
HGDP01155.HO	-0.0061	-0.0221	Italian_North	Modern
HGDP01156.HO	-0.0063	-0.0236	Italian_North	Modern
HGDP01157.HO	-0.0092	-0.017	Italian_North	Modern
HGDP01161.HO	-0.0017	-0.0199	Italian_North	Modern
HGDP01162.HO	9e-4	-0.0159	Italian_North	Modern
HGDP01163.HO	-0.0027	-0.0124	Italian_North	Modern
HGDP01164.HO	-0.0022	-0.0216	Italian_North	Modern
HGDP01166.HO	-0.0036	-0.0192	Italian_North	Modern
HGDP01167.HO	-8e-4	-0.0181	Italian_North	Modern
HGDP01168.HO	-0.0027	-0.0176	Italian_North	Modern
HGDP01169.HO	-3e-4	-0.0166	Italian_North	Modern
HGDP01171.HO	-0.0078	-0.0194	Italian_North	Modern
HGDP01172.HO	-0.0062	-0.0151	Italian_North	Modern
HGDP01173.HO	-0.0098	-0.0209	Italian_North	Modern
HGDP01174.HO	-0.0064	-0.023	Italian_North	Modern
HGDP01177.HO	-0.0097	-0.0233	Italian_North	Modern
HGDP01357.HO	-0.0235	-0.0389	Basque	Modern
HGDP01358.HO	-0.0257	-0.0385	Basque	Modern
HGDP01359.HO	-0.0263	-0.0404	Basque	Modern
HGDP01360.HO	-0.0305	-0.0396	Basque	Modern
HGDP01362.HO	-0.0258	-0.039	Basque	Modern
HGDP01363.HO	-0.0248	-0.0371	Basque	Modern
HGDP01364.HO	-0.0209	-0.0369	Basque	Modern
HGDP01365.HO	-0.0243	-0.0395	Basque	Modern
HGDP01366.HO	-0.0258	-0.0367	Basque	Modern
HGDP01367.HO	-0.027	-0.038	Basque	Modern
HGDP01368.HO	-0.0221	-0.0361	Basque	Modern
HGDP01370.HO	-0.0262	-0.0421	Basque	Modern
HGDP01371.HO	-0.0259	-0.0347	Basque	Modern
HGDP01373.HO	-0.0252	-0.0408	Basque	Modern
HGDP01374.HO	-0.0264	-0.041	Basque	Modern
HGDP01375.HO	-0.023	-0.0395	Basque	Modern
HGDP01377.HO	-0.0253	-0.0393	Basque	Modern
HGDP01378.HO	-0.0246	-0.0355	Basque	Modern
HGDP01379.HO	-0.0266	-0.0411	Basque	Modern
HGDP01380.HO	-0.0247	-0.0433	Basque	Modern
HGDP01381.HO	0.0155	0.0416	Adygei	Modern
HGDP01382.HO	0.0165	0.0367	Adygei	Modern
HGDP01383.HO	0.0172	0.0327	Adygei	Modern
HGDP01385.HO	0.0154	0.0372	Adygei	Modern
HGDP01386.HO	0.018	0.0318	Adygei	Modern
HGDP01387.HO	0.0172	0.0351	Adygei	Modern
HGDP01396.HO	0.0057	0.0347	Adygei	Modern
HGDP01397.HO	0.015	0.0387	Adygei	Modern
HGDP01398.HO	0.0218	0.0348	Adygei	Modern
HGDP01399.HO	0.0194	0.0357	Adygei	Modern
HGDP01400.HO	0.0191	0.0361	Adygei	Modern
HGDP01401.HO	0.0186	0.0362	Adygei	Modern
HGDP01402.HO	0.0133	0.0327	Adygei	Modern
HGDP01403.HO	0.0161	0.0292	Adygei	Modern
HGDP01404.HO	0.0205	0.0406	Adygei	Modern
BulgarianD6.HO	-0.0108	-0.0011	Bulgarian	Modern
BulgarianA4.HO	-0.0134	-3e-4	Bulgarian	Modern
hungary3.HO	-0.0194	0.0022	Hungarian	Modern
LithuanianF1.HO	-0.0433	0.0246	Lithuanian	Modern
iran19.HO	0.0308	0.0196	Iranian	Modern
iran14.HO	0.0272	0.0251	Iranian	Modern
Jordan543.HO	0.044	-0.0322	Jordanian	Modern
BulgarianE2.HO	-0.0101	0.0013	Bulgarian	Modern
BulgarianB4.HO	-0.0064	0.002	Bulgarian	Modern
hungary6.HO	-0.0198	0.001	Hungarian	Modern
lithuania3.HO	-0.038	0.0228	Lithuanian	Modern
iran2.HO	0.0298	0.0326	Iranian	Modern
iran20.HO	0.0324	0.0235	Iranian	Modern
syria361.HO	0.0295	4e-4	Syrian	Modern
Lebanon6.HO	0.0338	0.0116	Lebanese	Modern
SaudiA5.HO	0.0557	-0.0501	Saudi	Modern
Jordan214.HO	0.0403	-0.0193	Jordanian	Modern
BulgarianA1.HO	-0.0067	-8e-4	Bulgarian	Modern
HungarianC5.HO	-0.0251	0.0127	Hungarian	Modern
hungary7.HO	-0.0228	0.0078	Hungarian	Modern
lithuania10.HO	-0.0415	0.0258	Lithuanian	Modern
iran3.HO	0.035	0.0243	Iranian	Modern
syria485.HO	0.0357	-0.0149	Syrian	Modern
Lebanon7.HO	0.0353	-0.0163	Lebanese	Modern
SaudiA6.HO	0.0493	-0.032	Saudi	Modern
Jordan445.HO	0.0423	-0.0313	Jordanian	Modern
BulgarianB1.HO	-0.0094	-0.004	Bulgarian	Modern
HungarianE5.HO	-0.0227	0.0055	Hungarian	Modern
HungarianH3.HO	-0.0249	0.0051	Hungarian	Modern
lithuania9.HO	-0.0406	0.0237	Lithuanian	Modern
syria4.HO	0.0375	-0.0145	Syrian	Modern
Lebanon8.HO	0.033	0.0019	Lebanese	Modern
SaudiA7.HO	0.0361	-0.0158	Saudi	Modern
BulgarianC1.HO	-0.0043	-0.0031	Bulgarian	Modern
hungary15.HO	-0.0213	0.0079	Hungarian	Modern
LithuanianA1.HO	-0.0412	0.0202	Lithuanian	Modern
LithuanianE2.HO	-0.0388	0.023	Lithuanian	Modern
iran11.HO	0.0306	0.0259	Iranian	Modern
Lebanon1.HO	0.0352	-0.0129	Lebanese	Modern
BulgarianF1.HO	-0.0088	0.0016	Bulgarian	Modern
hungary20.HO	-0.0234	0.0027	Hungarian	Modern
lithuania1.HO	-0.038	0.0184	Lithuanian	Modern
lithuania8.HO	-0.0397	0.0234	Lithuanian	Modern
iran16.HO	0.0317	0.0274	Iranian	Modern
Lebanon2.HO	0.0368	-0.015	Lebanese	Modern
saudi1424.HO	0.0551	-0.0456	Saudi	Modern
SaudiA9.HO	0.0469	-0.017	Saudi	Modern
BulgarianH2.HO	-0.0032	-0.0032	Bulgarian	Modern
hungary2.HO	-0.0222	0.0099	Hungarian	Modern
lithuania2.HO	-0.0404	0.0236	Lithuanian	Modern
iran17.HO	0.0342	0.0318	Iranian	Modern
Lebanon3.HO	0.0356	-0.0176	Lebanese	Modern
Jordan503.HO	0.0416	-0.0059	Jordanian	Modern
BulgarianF2.HO	-0.0109	5e-4	Bulgarian	Modern
HungarianD1.HO	-0.0151	0.004	Hungarian	Modern
LithuanianD1.HO	-0.0378	0.0179	Lithuanian	Modern
Jordan646.HO	0.046	-0.0239	Jordanian	Modern
bal102.HO	0.015	0.0377	Balkar	Modern
bal64.HO	0.0172	0.04	Balkar	Modern
mg43.HO	0.0287	0.0308	Georgian	Modern
ch126.HO	0.0165	0.0409	Chechen	Modern
abh27.HO	0.0251	0.0287	Abkhasian	Modern
armenia176.HO	0.0309	0.0069	Armenian	Modern
lez38.HO	0.0199	0.0464	Lezgin	Modern
bal124.HO	0.0155	0.0364	Balkar	Modern
bal97.HO	0.0205	0.0416	Balkar	Modern
mg47.HO	0.0291	0.0261	Georgian	Modern
ch16.HO	0.0157	0.0372	Chechen	Modern
