Genetic ID	Master ID
I35746_v57.1.TW	I35746
I35747_v57.1.TW	I35747
I35748_v57.1.TW	I35748
I35749_v57.1.TW	I35749
I35750.TW	I35750
I35752.TW	I35752
I35753_v57.1.TW	I35753
I35754.TW	I35754
I14742.AG.TW	I14742
I14742.TW	I14742
I14742.AG	I14742
I14377.AG	I14377
I3130.SG	I3130
I3130.AG	I3130
I2861.SG	I2861
I2861.DG	I2861
I2861_enhanced.AG.TW	I2861
I2861_enhanced.AG	I2861
I2861_enhanced.TW	I2861
I2861.AG	I2861
I14864.AG	I14864
I14744.TW	I14744
I14862.AG	I14862
I2860.SG	I2860
I2860.AG	I2860
I14865.AG	I14865
I14861.AG	I14861
I2859.SG	I2859
I2859.AG	I2859
I14358.AG	I14358
I14379.AG	I14379
I12624.AG	I12624
I14745.AG.TW	I14745
I14745.TW	I14745
I14745.AG	I14745
I14547.AG	I14547
I33169.TW	I33169
I13682.AG	I13682
I13682_enhanced.AG	I13682
I16618.AG	I16618
I12783.AG	I12783
I19867.AG	I19867
I19861.AG	I19861
I14743_d.AG	I14743
I27382.AG	I27382
I16617.AG	I16617
I13688.AG	I13688
I12610.AG	I12610
I19868.AG	I19868
I19862.AG	I19862
I19287.AG	I19287
I12774.AG	I12774
I17260.AG	I17260
I20585.AG	I20585
I13689.AG	I13689
I27383.AG	I27383
I13690.AG	I13690
S42701_Rabble.11_SQ.TW	I42701
I16498.AG	I16498
I27381.AG	I27381
I11154.AG	I11154
I11995.AG	I11995
I16602.AG	I16602
I11149.AG	I11149
I14381.AG	I14381
I17259.AG	I17259
I2692.AG	I2692
I16612.AG	I16612
I17258.AG	I17258
I13684.AG	I13684
I13684_enhanced.AG	I13684
I14857.AG	I14857
I31923.TW	I31923
I31919.TW	I31919
I31921.TW	I31921
I31947.TW	I31947
I31948.TW	I31948
I33055.TW	I33055
I33145.TW	I33145
I33148.TW	I33148
I33170.TW	I33170
I36191.TW	I36191
I16600.AG	I16600
I12787.AG	I12787
I14747.AG	I14747
I19863.AG	I19863
I13729.AG	I13729
I16453.AG	I16453
I31932.TW	I31932
I31934.TW	I31934
I31935.TW	I31935
I31936.TW	I31936
I31937.TW	I31937
I36184.TW	I36184
I14551.AG	I14551
I21297_d.AG	I21297
I12772.AG	I12772
I16379.TW	I16379
I16380.AG	I16380
I16388.AG	I16388
I16439.AG	I16439
I16440.AG	I16440
I16441.AG	I16441
I16442.AG	I16442
S16461_Blob.13_SQ.TW	I16461
I16506.AG	I16506
I16513.AG	I16513
S41287_Shoal.2_SQ.TW	I41287
S41288_Shoal.2_SQ.TW	I41288
I12771.AG	I12771
S42791_Rabble.11_SQ.TW	I42791
I33052.TW	I33052
I16591.AG	I16591
I21301.AG	I21301
I21305.AG	I21305
S41280_Shoal.2_SQ.TW	I41280
I16599.AG	I16599
I11148.AG	I11148
I11153.AG	I11153
I16597.AG	I16597
I19872.AG	I19872
I14808.AG	I14808
I13732.AG	I13732
I36187.TW	I36187
I14549.AG	I14549
I16611.AG	I16611
I21180.AG	I21180
I35721.TW	I35721
I13685.AG	I13685
I14378.AG	I14378
I21293.AG	I21293
I13717.AG	I13717
I2983.AG	I2983
I13683.AG	I13683
I14858.AG	I14858
I36767.TW	I36767
I12937_d.AG	I12937
I31938.TW	I31938
I11146.AG	I11146
I13615.AG	I13615
I16405.AG	I16405
I19209.AG.TW	I19209
I19209.TW	I19209
I19209.AG	I19209
I19211.AG	I19211
I19653.AG	I19653
I19654.AG	I19654
I19856.AG	I19856
I19873.AG	I19873
I19874.AG	I19874
I19907.AG	I19907
I19908.AG	I19908
I19910.AG	I19910
I19911.AG	I19911
I20586.AG	I20586
I20589.AG	I20589
I21178.AG	I21178
I21181.AG	I21181
I21182.AG	I21182
I2982.SG	I2982
I2982.AG	I2982
I31939.TW	I31939
I37307.TW	I37307
I37308.TW	I37308
I37309.TW	I37309
I37310.TW	I37310
I37311.TW	I37311
I37312.TW	I37312
I37313.TW	I37313
I37314.TW	I37314
I37315.TW	I37315
I37316.TW	I37316
I37317.TW	I37317
I37318.TW	I37318
I37319.TW	I37319
I37320.TW	I37320
I37321.TW	I37321
I37322.TW	I37322
I37323.TW	I37323
I37324.TW	I37324
I37325.TW	I37325
I37326.TW	I37326
I37327.TW	I37327
I37328.TW	I37328
I37329.TW	I37329
I37330.TW	I37330
I37331.TW	I37331
I37332.TW	I37332
I37333.TW	I37333
I37334.TW	I37334
I37335.TW	I37335
S37335_Scrum.6_SQ.TW	I37335
I37336.TW	I37336
I37337.TW	I37337
I37338.TW	I37338
I37339.TW	I37339
I37340.TW	I37340
I37341.TW	I37341
I37342.TW	I37342
I37343.TW	I37343
I37344.TW	I37344
I39724.TW	I39724
I39725.TW	I39725
I39726.TW	I39726
I39727.TW	I39727
I39728.TW	I39728
I39729.TW	I39729
I39730.TW	I39730
I39731.TW	I39731
I39732.TW	I39732
I39733.TW	I39733
S41272_Shoal.2_SQ.TW	I41272
S41273_Shoal.2_SQ.TW	I41273
S42645_Shoal.7_SQ.TW	I42645
S42645_Shoal.7_SQ_d.TW	I42645
I31918.TW	I31918
I14802.AG	I14802
I19652.AG	I19652
I13731.AG	I13731
I39399.TW	I39399
I19042.AG	I19042
I20587.AG	I20587
I13727.AG	I13727
I31946.TW	I31946
I11147.AG	I11147
